[ii] n=92103 bank=72204.2930 mode=multi target=4000 block_time=60.0s seed=11
[r1530] best=72204.2930 gains=0 lat=0 region~3956 free~602 t=48s status=OPTIMAL
[r1540] best=72204.2930 gains=0 lat=0 region~3973 free~600 t=49s status=OPTIMAL
[r1550] best=72204.2930 gains=0 lat=0 region~3945 free~600 t=49s status=OPTIMAL
[r1560] best=72204.2930 gains=0 lat=0 region~3949 free~598 t=49s status=OPTIMAL
[r1570] best=72204.2930 gains=0 lat=0 region~3949 free~596 t=50s status=OPTIMAL
[r1580] best=72204.2930 gains=0 lat=0 region~3952 free~597 t=50s status=OPTIMAL
[r1590] best=72204.2930 gains=0 lat=0 region~3938 free~614 t=50s status=OPTIMAL
[r1600] best=72204.2930 gains=0 lat=0 region~3928 free~599 t=51s status=OPTIMAL
[r1610] best=72204.2930 gains=0 lat=0 region~3922 free~589 t=51s status=OPTIMAL
[r1620] best=72204.2930 gains=0 lat=0 region~3973 free~586 t=51s status=OPTIMAL
[r1630] best=72204.2930 gains=0 lat=0 region~3976 free~588 t=52s status=OPTIMAL
[r1640] best=72204.2930 gains=0 lat=0 region~3977 free~622 t=52s status=OPTIMAL
[r1650] best=72204.2930 gains=0 lat=0 region~3922 free~601 t=52s status=OPTIMAL
[r1660] best=72204.2930 gains=0 lat=0 region~3979 free~602 t=53s status=OPTIMAL
[r1670] best=72204.2930 gains=0 lat=0 region~3940 free~612 t=53s status=OPTIMAL
[r1680] best=72204.2930 gains=0 lat=0 region~3958 free~588 t=53s status=OPTIMAL
[r1690] best=72204.2930 gains=0 lat=0 region~3962 free~611 t=54s status=OPTIMAL
[r1700] best=72204.2930 gains=0 lat=0 region~3955 free~615 t=54s status=OPTIMAL
[r1710] best=72204.2930 gains=0 lat=0 region~3948 free~586 t=55s status=OPTIMAL
[r1720] best=72204.2930 gains=0 lat=0 region~3945 free~598 t=55s status=OPTIMAL
[r1730] best=72204.2930 gains=0 lat=0 region~3963 free~595 t=56s status=OPTIMAL
[r1740] best=72204.2930 gains=0 lat=0 region~3941 free~590 t=56s status=OPTIMAL
[r1750] best=72204.2930 gains=0 lat=0 region~3943 free~601 t=57s status=OPTIMAL
[r1760] best=72204.2930 gains=0 lat=0 region~3957 free~604 t=57s status=OPTIMAL
[r1770] best=72204.2930 gains=0 lat=0 region~3938 free~601 t=58s status=OPTIMAL
[r1780] best=72204.2930 gains=0 lat=0 region~3944 free~594 t=58s status=OPTIMAL
[r1790] best=72204.2930 gains=0 lat=0 region~3948 free~597 t=58s status=OPTIMAL
[r1800] best=72204.2930 gains=0 lat=0 region~3953 free~592 t=58s status=OPTIMAL
[r1810] best=72204.2930 gains=0 lat=0 region~3954 free~585 t=59s status=OPTIMAL
[r1820] best=72204.2930 gains=0 lat=0 region~3914 free~609 t=59s status=OPTIMAL
[r1830] best=72204.2930 gains=0 lat=0 region~3957 free~597 t=59s status=OPTIMAL
[r1840] best=72204.2930 gains=0 lat=0 region~3965 free~615 t=60s status=OPTIMAL
[r1850] best=72204.2930 gains=0 lat=0 region~3943 free~612 t=60s status=OPTIMAL
[r1860] best=72204.2930 gains=0 lat=0 region~3917 free~580 t=60s status=OPTIMAL
[r1870] best=72204.2930 gains=0 lat=0 region~3951 free~625 t=61s status=OPTIMAL
[r1880] best=72204.2930 gains=0 lat=0 region~3957 free~609 t=61s status=OPTIMAL
[r1890] best=72204.2930 gains=0 lat=0 region~3953 free~585 t=61s status=OPTIMAL
[r1900] best=72204.2930 gains=0 lat=0 region~3947 free~603 t=62s status=OPTIMAL
[r1910] best=72204.2930 gains=0 lat=0 region~3975 free~601 t=62s status=OPTIMAL
[r1920] best=72204.2930 gains=0 lat=0 region~3945 free~604 t=62s status=OPTIMAL
[r1930] best=72204.2930 gains=0 lat=0 region~3968 free~610 t=63s status=OPTIMAL
[r1940] best=72204.2930 gains=0 lat=0 region~3953 free~609 t=63s status=OPTIMAL
[r1950] best=72204.2930 gains=0 lat=0 region~3953 free~607 t=63s status=OPTIMAL
[r1960] best=72204.2930 gains=0 lat=0 region~3953 free~606 t=64s status=OPTIMAL
[r1970] best=72204.2930 gains=0 lat=0 region~3961 free~594 t=64s status=OPTIMAL
[r1980] best=72204.2930 gains=0 lat=0 region~3954 free~616 t=64s status=OPTIMAL
[r1990] best=72204.2930 gains=0 lat=0 region~3946 free~590 t=65s status=OPTIMAL
[r2000] best=72204.2930 gains=0 lat=0 region~3954 free~608 t=65s status=OPTIMAL
[r2010] best=72204.2930 gains=0 lat=0 region~3969 free~595 t=65s status=OPTIMAL
[r2020] best=72204.2930 gains=0 lat=0 region~3954 free~608 t=65s status=OPTIMAL
[r2030] best=72204.2930 gains=0 lat=0 region~3926 free~595 t=66s status=OPTIMAL
[r2040] best=72204.2930 gains=0 lat=0 region~3960 free~596 t=66s status=OPTIMAL
[r2050] best=72204.2930 gains=0 lat=0 region~3975 free~603 t=66s status=OPTIMAL
[r2060] best=72204.2930 gains=0 lat=0 region~3969 free~611 t=67s status=OPTIMAL
[r2070] best=72204.2930 gains=0 lat=0 region~3932 free~591 t=67s status=OPTIMAL
[r2080] best=72204.2930 gains=0 lat=0 region~3936 free~602 t=67s status=OPTIMAL
[r2090] best=72204.2930 gains=0 lat=0 region~3968 free~611 t=68s status=OPTIMAL
[r2100] best=72204.2930 gains=0 lat=0 region~3935 free~583 t=68s status=OPTIMAL
[r2110] best=72204.2930 gains=0 lat=0 region~3978 free~614 t=68s status=OPTIMAL
[r2120] best=72204.2930 gains=0 lat=0 region~3911 free~597 t=69s status=OPTIMAL
[r2130] best=72204.2930 gains=0 lat=0 region~3967 free~591 t=69s status=OPTIMAL
[r2140] best=72204.2930 gains=0 lat=0 region~3968 free~604 t=69s status=OPTIMAL
[r2150] best=72204.2930 gains=0 lat=0 region~3961 free~581 t=69s status=OPTIMAL
[r2160] best=72204.2930 gains=0 lat=0 region~3965 free~627 t=70s status=OPTIMAL
[r2170] best=72204.2930 gains=0 lat=0 region~3927 free~599 t=70s status=OPTIMAL
[r2180] best=72204.2930 gains=0 lat=0 region~3936 free~598 t=70s status=OPTIMAL
[r2190] best=72204.2930 gains=0 lat=0 region~3938 free~600 t=71s status=OPTIMAL
[r2200] best=72204.2930 gains=0 lat=0 region~3952 free~589 t=71s status=OPTIMAL
[r2210] best=72204.2930 gains=0 lat=0 region~3960 free~584 t=72s status=OPTIMAL
[r2220] best=72204.2930 gains=0 lat=0 region~3961 free~602 t=72s status=OPTIMAL
[r2230] best=72204.2930 gains=0 lat=0 region~3956 free~590 t=72s status=OPTIMAL
[r2240] best=72204.2930 gains=0 lat=0 region~3934 free~598 t=72s status=OPTIMAL
[r2250] best=72204.2930 gains=0 lat=0 region~3973 free~604 t=73s status=OPTIMAL
[r2260] best=72204.2930 gains=0 lat=0 region~3962 free~594 t=73s status=OPTIMAL
[r2270] best=72204.2930 gains=0 lat=0 region~3965 free~606 t=73s status=OPTIMAL
[r2280] best=72204.2930 gains=0 lat=0 region~3986 free~600 t=74s status=OPTIMAL
[r2290] best=72204.2930 gains=0 lat=0 region~3935 free~605 t=74s status=OPTIMAL
[r2300] best=72204.2930 gains=0 lat=0 region~3940 free~613 t=74s status=OPTIMAL
[r2310] best=72204.2930 gains=0 lat=0 region~3951 free~606 t=75s status=OPTIMAL
[r2320] best=72204.2930 gains=0 lat=0 region~3966 free~616 t=75s status=OPTIMAL
[r2330] best=72204.2930 gains=0 lat=0 region~3981 free~590 t=75s status=OPTIMAL
[r2340] best=72204.2930 gains=0 lat=0 region~3959 free~596 t=76s status=OPTIMAL
[r2350] best=72204.2930 gains=0 lat=0 region~3959 free~594 t=76s status=OPTIMAL
[r2360] best=72204.2930 gains=0 lat=0 region~3918 free~589 t=76s status=OPTIMAL
[r2370] best=72204.2930 gains=0 lat=0 region~3971 free~617 t=76s status=OPTIMAL
[r2380] best=72204.2930 gains=0 lat=0 region~3899 free~576 t=77s status=OPTIMAL
[r2390] best=72204.2930 gains=0 lat=0 region~3959 free~616 t=77s status=OPTIMAL
[r2400] best=72204.2930 gains=0 lat=0 region~3968 free~594 t=77s status=OPTIMAL
[r2410] best=72204.2930 gains=0 lat=0 region~3936 free~596 t=78s status=OPTIMAL
[r2420] best=72204.2930 gains=0 lat=0 region~3955 free~586 t=78s status=OPTIMAL
[r2430] best=72204.2930 gains=0 lat=0 region~3968 free~586 t=78s status=OPTIMAL
[r2440] best=72204.2930 gains=0 lat=0 region~3924 free~592 t=79s status=OPTIMAL
[r2450] best=72204.2930 gains=0 lat=0 region~3971 free~603 t=79s status=OPTIMAL
[r2460] best=72204.2930 gains=0 lat=0 region~3981 free~599 t=79s status=OPTIMAL
[r2470] best=72204.2930 gains=0 lat=0 region~3961 free~577 t=80s status=OPTIMAL
[r2480] best=72204.2930 gains=0 lat=0 region~3979 free~603 t=80s status=OPTIMAL
[r2490] best=72204.2930 gains=0 lat=0 region~3951 free~609 t=80s status=OPTIMAL
[r2500] best=72204.2930 gains=0 lat=0 region~3966 free~591 t=81s status=OPTIMAL
[r2510] best=72204.2930 gains=0 lat=0 region~3921 free~603 t=81s status=OPTIMAL
[r2520] best=72204.2930 gains=0 lat=0 region~3956 free~569 t=81s status=OPTIMAL
[r2530] best=72204.2930 gains=0 lat=0 region~3967 free~610 t=81s status=OPTIMAL
[r2540] best=72204.2930 gains=0 lat=0 region~3967 free~575 t=82s status=OPTIMAL
[r2550] best=72204.2930 gains=0 lat=0 region~3946 free~593 t=82s status=OPTIMAL
