error    libmamba Could not set lock (Resource temporarily unavailable)
warning  libmamba Cannot lock '/home/julian/.cache/mamba/proc'
    Waiting for other mamba process to finish
[E-678 s421] best=72745.17 (+-508.31 vs bank) it=515 acc=515 [233s]
[E-678 s421] best=72746.17 (+-507.31 vs bank) it=519 acc=519 [234s]
[E-678 s421] best=72746.69 (+-506.79 vs bank) it=521 acc=521 [235s]
[E-678 s421] best=72747.17 (+-506.31 vs bank) it=524 acc=524 [236s]
[E-678 s421] best=72749.78 (+-503.70 vs bank) it=527 acc=527 [238s]
[E-678 s421] best=72751.40 (+-502.08 vs bank) it=529 acc=529 [239s]
[E-678 s421] best=72752.34 (+-501.14 vs bank) it=539 acc=539 [243s]
[E-678 s421] best=72752.54 (+-500.94 vs bank) it=543 acc=543 [245s]
[E-678 s421] best=72752.98 (+-500.50 vs bank) it=547 acc=547 [247s]
[E-678 s421] best=72753.45 (+-500.03 vs bank) it=548 acc=548 [248s]
[E-678 s421] best=72753.91 (+-499.57 vs bank) it=550 acc=550 [249s]
[E-678 s421] best=72755.11 (+-498.37 vs bank) it=553 acc=553 [250s]
[E-678 s421] best=72756.55 (+-496.93 vs bank) it=568 acc=568 [257s]
[E-678 s421] best=72759.97 (+-493.51 vs bank) it=579 acc=579 [262s]
[E-678 s421] best=72760.24 (+-493.24 vs bank) it=584 acc=584 [265s]
[E-678 s421] best=72760.93 (+-492.55 vs bank) it=585 acc=585 [265s]
[E-678 s421] best=72761.06 (+-492.42 vs bank) it=590 acc=590 [267s]
[E-678 s421] best=72762.59 (+-490.89 vs bank) it=591 acc=591 [268s]
[E-678 s421] best=72763.34 (+-490.14 vs bank) it=592 acc=592 [268s]
[E-678 s421] best=72764.70 (+-488.78 vs bank) it=597 acc=597 [271s]
[E-678 s421] it=600 cur=72764.70 best=72764.70 [272s]
[E-678 s421] best=72765.62 (+-487.86 vs bank) it=605 acc=605 [274s]
[E-678 s421] best=72765.90 (+-487.58 vs bank) it=609 acc=609 [276s]
[E-678 s421] best=72767.67 (+-485.81 vs bank) it=613 acc=613 [278s]
[E-678 s421] best=72769.65 (+-483.83 vs bank) it=614 acc=614 [279s]
[E-678 s421] best=72772.18 (+-481.29 vs bank) it=616 acc=616 [279s]
[E-678 s421] best=72772.29 (+-481.19 vs bank) it=633 acc=633 [287s]
[E-678 s421] best=72773.79 (+-479.69 vs bank) it=635 acc=635 [288s]
[E-678 s421] best=72776.13 (+-477.35 vs bank) it=640 acc=640 [290s]
[E-678 s421] best=72776.57 (+-476.91 vs bank) it=644 acc=644 [292s]
[E-678 s421] best=72778.26 (+-475.21 vs bank) it=669 acc=669 [304s]
[E-678 s421] best=72780.71 (+-472.76 vs bank) it=674 acc=674 [307s]
[E-678 s421] best=72781.04 (+-472.44 vs bank) it=687 acc=687 [313s]
[E-678 s421] best=72781.95 (+-471.53 vs bank) it=699 acc=699 [319s]
[E-678 s421] it=700 cur=72781.95 best=72781.95 [319s]
[E-678 s421] best=72782.08 (+-471.40 vs bank) it=713 acc=713 [326s]
[E-678 s421] best=72784.18 (+-469.30 vs bank) it=727 acc=727 [332s]
[E-678 s421] best=72786.34 (+-467.14 vs bank) it=732 acc=732 [335s]
[E-678 s421] best=72788.41 (+-465.07 vs bank) it=734 acc=734 [336s]
[E-678 s421] best=72789.54 (+-463.94 vs bank) it=735 acc=735 [336s]
[E-678 s421] best=72790.02 (+-463.46 vs bank) it=741 acc=741 [339s]
[E-678 s421] best=72790.34 (+-463.14 vs bank) it=742 acc=742 [339s]
[E-678 s421] best=72790.66 (+-462.82 vs bank) it=750 acc=750 [343s]
[E-678 s421] best=72791.45 (+-462.03 vs bank) it=751 acc=751 [343s]
[E-678 s421] best=72791.61 (+-461.87 vs bank) it=755 acc=755 [345s]
[E-678 s421] best=72795.84 (+-457.64 vs bank) it=756 acc=756 [345s]
[E-678 s421] best=72795.85 (+-457.63 vs bank) it=763 acc=763 [348s]
[E-678 s421] best=72796.05 (+-457.43 vs bank) it=768 acc=768 [351s]
[E-678 s421] best=72797.67 (+-455.81 vs bank) it=781 acc=781 [356s]
[E-678 s421] best=72799.73 (+-453.75 vs bank) it=797 acc=797 [363s]
[E-678 s421] it=800 cur=72799.73 best=72799.73 [365s]
[E-678 s421] best=72800.43 (+-453.04 vs bank) it=802 acc=802 [365s]
[E-678 s421] best=72800.47 (+-453.01 vs bank) it=806 acc=806 [367s]
[E-678 s421] best=72801.02 (+-452.46 vs bank) it=813 acc=813 [370s]
[E-678 s421] best=72801.23 (+-452.25 vs bank) it=815 acc=815 [371s]
[E-678 s421] best=72804.83 (+-448.65 vs bank) it=821 acc=821 [374s]
[E-678 s421] best=72806.35 (+-447.13 vs bank) it=822 acc=822 [374s]
[E-678 s421] best=72806.41 (+-447.07 vs bank) it=827 acc=827 [377s]
[E-678 s421] best=72808.82 (+-444.66 vs bank) it=828 acc=828 [377s]
[E-678 s421] best=72810.11 (+-443.37 vs bank) it=831 acc=831 [378s]
[E-678 s421] best=72810.62 (+-442.85 vs bank) it=832 acc=832 [379s]
[E-678 s421] best=72814.00 (+-439.48 vs bank) it=834 acc=834 [380s]
[E-678 s421] best=72814.08 (+-439.40 vs bank) it=836 acc=836 [381s]
[E-678 s421] best=72814.14 (+-439.34 vs bank) it=851 acc=851 [387s]
[E-678 s421] best=72814.15 (+-439.33 vs bank) it=894 acc=894 [407s]
[E-678 s421] it=900 cur=72814.15 best=72814.15 [409s]
[E-678 s421] best=72814.50 (+-438.98 vs bank) it=918 acc=918 [418s]
[E-678 s421] best=72814.50 (+-438.98 vs bank) it=920 acc=920 [419s]
[E-678 s421] best=72814.59 (+-438.89 vs bank) it=925 acc=925 [421s]
[E-678 s421] best=72815.93 (+-437.55 vs bank) it=928 acc=928 [422s]
[E-678 s421] best=72819.38 (+-434.10 vs bank) it=929 acc=929 [423s]
[E-678 s421] best=72820.03 (+-433.45 vs bank) it=930 acc=930 [423s]
[E-678 s421] best=72822.01 (+-431.47 vs bank) it=940 acc=940 [428s]
[E-678 s421] best=72823.80 (+-429.68 vs bank) it=961 acc=961 [437s]
[E-678 s421] best=72824.91 (+-428.57 vs bank) it=963 acc=963 [438s]
[E-678 s421] best=72826.21 (+-427.27 vs bank) it=984 acc=984 [447s]
[E-678 s421] it=1000 cur=72826.21 best=72826.21 [455s]
[E-678 s421] best=72826.30 (+-427.18 vs bank) it=1031 acc=1031 [468s]
[E-678 s421] best=72827.01 (+-426.47 vs bank) it=1048 acc=1048 [476s]
[E-678 s421] best=72827.66 (+-425.82 vs bank) it=1060 acc=1060 [481s]
[E-678 s421] best=72829.56 (+-423.92 vs bank) it=1074 acc=1074 [487s]
[E-678 s421] best=72830.34 (+-423.14 vs bank) it=1075 acc=1075 [488s]
[E-678 s421] best=72832.49 (+-420.99 vs bank) it=1078 acc=1078 [489s]
[E-678 s421] best=72833.07 (+-420.41 vs bank) it=1079 acc=1079 [490s]
[E-678 s421] best=72833.45 (+-420.03 vs bank) it=1085 acc=1085 [492s]
[E-678 s421] it=1100 cur=72833.45 best=72833.45 [499s]
[E-678 s421] best=72833.90 (+-419.57 vs bank) it=1117 acc=1117 [506s]
[E-678 s421] best=72834.70 (+-418.78 vs bank) it=1129 acc=1129 [511s]
[E-678 s421] it=1200 cur=72834.70 best=72834.70 [542s]
[E-678 s421] best=72836.05 (+-417.43 vs bank) it=1212 acc=1212 [547s]
[E-678 s421] best=72836.51 (+-416.97 vs bank) it=1220 acc=1220 [550s]
[E-678 s421] best=72836.73 (+-416.75 vs bank) it=1227 acc=1227 [553s]
[E-678 s421] best=72838.33 (+-415.15 vs bank) it=1250 acc=1250 [564s]
[E-678 s421] it=1300 cur=72838.33 best=72838.33 [585s]
[E-678 s421] best=72838.44 (+-415.04 vs bank) it=1345 acc=1345 [603s]
[E-678 s421] best=72839.19 (+-414.29 vs bank) it=1347 acc=1347 [604s]
[E-678 s421] best=72840.38 (+-413.10 vs bank) it=1363 acc=1363 [611s]
[E-678 s421] best=72840.66 (+-412.82 vs bank) it=1380 acc=1380 [618s]
[E-678 s421] best=72842.24 (+-411.24 vs bank) it=1383 acc=1383 [620s]
[E-678 s421] best=72842.31 (+-411.17 vs bank) it=1387 acc=1387 [621s]
[E-678 s421] best=72842.32 (+-411.16 vs bank) it=1395 acc=1395 [625s]
[E-678 s421] best=72843.19 (+-410.29 vs bank) it=1396 acc=1396 [625s]
[E-678 s421] it=1400 cur=72843.19 best=72843.19 [627s]
[E-678 s421] best=72843.64 (+-409.84 vs bank) it=1401 acc=1401 [628s]
[E-678 s421] best=72846.73 (+-406.75 vs bank) it=1404 acc=1404 [629s]
[E-678 s421] best=72847.01 (+-406.47 vs bank) it=1407 acc=1407 [630s]
[E-678 s421] best=72848.59 (+-404.89 vs bank) it=1421 acc=1421 [636s]
[E-678 s421] best=72848.88 (+-404.60 vs bank) it=1442 acc=1442 [645s]
[E-678 s421] best=72849.83 (+-403.65 vs bank) it=1452 acc=1452 [649s]
