[E-756rr] bank 33490.458, 4479 matched. ruin-recreate K∈[100,400] 6000s seed7
[E-756rr] it9400: cur 33489.070 best 33490.458 (+0.000) T=1.097 acc9096 [158s]
[E-756rr] it9450: cur 33488.841 best 33490.458 (+0.000) T=1.070 acc9146 [159s]
[E-756rr] it9500: cur 33488.841 best 33490.458 (+0.000) T=1.044 acc9196 [160s]
[E-756rr] it9550: cur 33488.841 best 33490.458 (+0.000) T=1.018 acc9244 [160s]
[E-756rr] it9600: cur 33489.070 best 33490.458 (+0.000) T=0.993 acc9293 [161s]
[E-756rr] it9650: cur 33489.070 best 33490.458 (+0.000) T=0.968 acc9342 [162s]
[E-756rr] it9700: cur 33488.841 best 33490.458 (+0.000) T=0.945 acc9391 [163s]
[E-756rr] it9750: cur 33488.841 best 33490.458 (+0.000) T=0.921 acc9439 [164s]
[E-756rr] it9800: cur 33488.602 best 33490.458 (+0.000) T=0.898 acc9488 [165s]
[E-756rr] it9850: cur 33488.602 best 33490.458 (+0.000) T=0.876 acc9537 [166s]
[E-756rr] it9900: cur 33487.491 best 33490.458 (+0.000) T=0.855 acc9586 [167s]
[E-756rr] it9950: cur 33488.373 best 33490.458 (+0.000) T=0.834 acc9633 [168s]
[E-756rr] it10000: cur 33488.373 best 33490.458 (+0.000) T=0.813 acc9681 [168s]
[E-756rr] it10050: cur 33488.373 best 33490.458 (+0.000) T=0.793 acc9730 [169s]
[E-756rr] it10100: cur 33488.031 best 33490.458 (+0.000) T=0.773 acc9780 [170s]
[E-756rr] it10150: cur 33488.031 best 33490.458 (+0.000) T=0.754 acc9828 [171s]
[E-756rr] it10200: cur 33487.765 best 33490.458 (+0.000) T=0.736 acc9878 [172s]
[E-756rr] it10250: cur 33487.765 best 33490.458 (+0.000) T=0.717 acc9927 [173s]
[E-756rr] it10300: cur 33487.765 best 33490.458 (+0.000) T=0.700 acc9977 [174s]
[E-756rr] it10350: cur 33487.112 best 33490.458 (+0.000) T=0.682 acc10027 [175s]
[E-756rr] it10400: cur 33487.765 best 33490.458 (+0.000) T=0.666 acc10077 [175s]
[E-756rr] it10450: cur 33487.765 best 33490.458 (+0.000) T=0.649 acc10126 [176s]
[E-756rr] it10500: cur 33487.994 best 33490.458 (+0.000) T=0.633 acc10172 [177s]
[E-756rr] it10550: cur 33487.994 best 33490.458 (+0.000) T=0.617 acc10221 [178s]
[E-756rr] it10600: cur 33487.765 best 33490.458 (+0.000) T=0.602 acc10268 [179s]
[E-756rr] it10650: cur 33487.994 best 33490.458 (+0.000) T=0.587 acc10316 [180s]
[E-756rr] it10700: cur 33487.765 best 33490.458 (+0.000) T=0.573 acc10364 [180s]
[E-756rr] it10750: cur 33487.765 best 33490.458 (+0.000) T=0.559 acc10413 [181s]
[E-756rr] it10800: cur 33487.994 best 33490.458 (+0.000) T=0.545 acc10461 [182s]
[E-756rr] it10850: cur 33487.994 best 33490.458 (+0.000) T=0.531 acc10510 [183s]
