error    libmamba Could not set lock (Resource temporarily unavailable)
warning  libmamba Cannot lock '/home/julian/.cache/mamba/proc'
    Waiting for other mamba process to finish
[E-678 s201] best=73189.38 (+-64.10 vs bank) it=2024 acc=2024 [5675s]
[E-678 s201] best=73190.02 (+-63.46 vs bank) it=2086 acc=2086 [5833s]
[E-678 s201] it=2100 cur=73190.02 best=73190.02 [5869s]
[E-678 s201] best=73190.04 (+-63.44 vs bank) it=2157 acc=2157 [6016s]
[E-678 s201] best=73190.51 (+-62.97 vs bank) it=2163 acc=2163 [6031s]
[E-678 s201] best=73190.68 (+-62.80 vs bank) it=2167 acc=2167 [6042s]
[E-678 s201] best=73190.94 (+-62.54 vs bank) it=2186 acc=2186 [6090s]
[E-678 s201] it=2200 cur=73190.94 best=73190.94 [6125s]
[E-678 s201] best=73192.17 (+-61.31 vs bank) it=2217 acc=2217 [6169s]
[E-678 s201] best=73192.62 (+-60.86 vs bank) it=2221 acc=2221 [6179s]
[E-678 s201] it=2300 cur=73192.62 best=73192.62 [6381s]
[E-678 s201] best=73192.74 (+-60.74 vs bank) it=2367 acc=2367 [6552s]
[E-678 s201] best=73192.95 (+-60.53 vs bank) it=2369 acc=2369 [6557s]
[E-678 s201] it=2400 cur=73192.95 best=73192.95 [6637s]
[E-678 s201] best=73193.56 (+-59.92 vs bank) it=2432 acc=2432 [6719s]
[E-678 s201] best=73195.62 (+-57.86 vs bank) it=2437 acc=2437 [6731s]
[E-678 s201] it=2500 cur=73195.62 best=73195.62 [6892s]
[E-678 s201] it=2600 cur=73195.62 best=73195.62 [7148s]
[E-678 s201] it=2700 cur=69045.73 best=73195.62 [7484s]
[E-678 s201] it=2800 cur=72690.03 best=73195.62 [7829s]
[E-678 s201] it=2900 cur=72790.82 best=73195.62 [8064s]
[E-678 s201] it=3000 cur=72654.95 best=73195.62 [8410s]
[E-678 s201] it=3100 cur=72832.56 best=73195.62 [8678s]
[E-678 s201] it=3200 cur=70378.14 best=73195.62 [9042s]
[E-678 s201] it=3300 cur=72677.40 best=73195.62 [9495s]
[E-678 s201] it=3400 cur=72778.54 best=73195.62 [9812s]
[E-678 s201] it=3500 cur=72445.65 best=73195.62 [10347s]
[E-678 s201] it=3600 cur=72695.04 best=73195.62 [10657s]
[E-678 s201] it=3700 cur=68722.46 best=73195.62 [11025s]
[E-678 s201] it=3800 cur=72638.51 best=73195.62 [11480s]
[E-678 s201] it=3900 cur=72712.83 best=73195.62 [11782s]
[E-678 s201] it=4000 cur=71056.63 best=73195.62 [12488s]
[E-678 s201] it=4100 cur=72492.22 best=73195.62 [12832s]
[E-678 s201] it=4200 cur=68951.15 best=73195.62 [13187s]
[E-678 s201] it=4300 cur=72689.74 best=73195.62 [13893s]
[E-678 s201] it=4400 cur=72761.05 best=73195.62 [14603s]
[E-678 s201] it=4500 cur=72663.23 best=73195.62 [16837s]
[E-678 s201] it=4600 cur=72923.21 best=73195.62 [17591s]
[E-678 s201] it=4700 cur=67876.35 best=73195.62 [18350s]
[E-678 s201] it=4800 cur=72774.17 best=73195.62 [19858s]
[E-678 s201] it=4900 cur=72866.02 best=73195.62 [20264s]
[E-678 s201] it=5000 cur=72573.52 best=73195.62 [20737s]
[E-678 s201] it=5100 cur=72734.41 best=73195.62 [21006s]
[E-678 s201] it=5200 cur=68229.56 best=73195.62 [21301s]
[E-678 s201] it=5300 cur=72602.52 best=73195.62 [21692s]
[E-678 s201] it=5400 cur=72733.05 best=73195.62 [21947s]
[E-678 s201] it=5500 cur=72585.50 best=73195.62 [22330s]
[E-678 s201] it=5600 cur=72758.95 best=73195.62 [22575s]
[E-678 s201] it=5700 cur=67218.82 best=73195.62 [22835s]
[E-678 s201] it=5800 cur=72758.95 best=73195.62 [23206s]
[E-678 s201] it=5900 cur=72817.93 best=73195.62 [23470s]
[E-678 s201] it=6000 cur=71764.08 best=73195.62 [24099s]
[E-678 s201] it=6100 cur=72540.38 best=73195.62 [24369s]
[E-678 s201] it=6200 cur=72642.70 best=73195.62 [24620s]
[E-678 s201] it=6300 cur=72806.42 best=73195.62 [25005s]
[E-678 s201] it=6400 cur=72891.53 best=73195.62 [25252s]
[E-678 s201] it=6500 cur=72531.39 best=73195.62 [25636s]
[E-678 s201] it=6600 cur=72759.53 best=73195.62 [25889s]
[E-678 s201] it=6700 cur=72844.17 best=73195.62 [26137s]
[E-678 s201] it=6800 cur=72774.64 best=73195.62 [26535s]
[E-678 s201] it=6900 cur=72893.88 best=73195.62 [26778s]
[E-678 s201] it=7000 cur=67826.57 best=73195.62 [27373s]
[E-678 s201] it=7100 cur=72451.77 best=73195.62 [28016s]
[E-678 s201] it=7200 cur=72597.83 best=73195.62 [28264s]
[E-678 s201] it=7300 cur=72545.96 best=73195.62 [28783s]
[E-678 s201] it=7400 cur=72684.71 best=73195.62 [29029s]
[E-678 s201] it=7500 cur=72423.46 best=73195.62 [29445s]
[E-678 s201] it=7600 cur=72677.66 best=73195.62 [29697s]
[E-678 s201] it=7700 cur=72766.42 best=73195.62 [29943s]
