E-626 matching-i: bank=33338.1840 leader=33555.6150 budget=1800.0s nw=4
[coop seed=3 f=0.30] r=1625 best=33346.6 t=1300s
[coop seed=2 f=0.30] r=1350 best=33346.6 t=1302s
[coop seed=0 f=0.20] r=1500 best=33346.6 t=1303s
[coop seed=0 f=0.65] r=1525 best=33346.6 t=1312s
[coop seed=3 f=0.65] r=1650 best=33346.6 t=1314s
[coop seed=2 f=0.65] r=1375 best=33346.6 t=1317s
[coop seed=1 f=0.65] r=1475 best=33346.6 t=1325s
[coop seed=2 f=0.30] r=1400 best=33348.5 t=1332s
[coop seed=0 f=0.65] r=1550 best=33346.6 t=1341s
[coop seed=1 f=0.20] r=1500 best=33348.5 t=1343s
[coop seed=3 f=0.65] r=1675 best=33346.6 t=1343s
[coop seed=2 f=0.20] r=1425 best=33348.6 t=1345s
[coop seed=1 f=0.15] r=1525 best=33348.6 t=1345s
[coop seed=1 f=0.45] r=1550 best=33348.6 t=1348s
[coop seed=3 f=0.20] r=1700 best=33348.6 t=1349s
[coop seed=0 f=0.15] r=1575 best=33348.6 t=1352s
[coop seed=2 f=0.65] r=1450 best=33348.6 t=1352s
[coop seed=0 f=0.65] r=1600 best=33348.6 t=1355s
[coop seed=3 f=0.65] r=1725 best=33348.6 t=1358s
[coop seed=0 f=0.15] r=1625 best=33349.9 t=1372s
[coop seed=0 f=0.45] r=1650 best=33349.9 t=1373s
[coop seed=1 f=0.65] r=1575 best=33348.6 t=1374s
[coop seed=3 f=0.15] r=1750 best=33349.9 t=1375s
[coop seed=3 f=0.45] r=1775 best=33349.9 t=1376s
[coop seed=1 f=0.30] r=1600 best=33349.9 t=1380s
[coop seed=2 f=0.65] r=1475 best=33348.6 t=1381s
[coop seed=2 f=0.45] r=1500 best=33349.9 t=1388s
[coop seed=1 f=0.65] r=1625 best=33349.9 t=1397s
[coop seed=0 f=0.65] r=1675 best=33349.9 t=1397s
[coop seed=3 f=0.65] r=1800 best=33349.9 t=1401s
[coop seed=0 f=0.15] r=1700 best=33350.9 t=1412s
[coop seed=2 f=0.65] r=1525 best=33349.9 t=1413s
[coop seed=0 f=0.45] r=1725 best=33350.9 t=1414s
[coop seed=1 f=0.20] r=1650 best=33350.9 t=1415s
[coop seed=1 f=0.65] r=1675 best=33350.9 t=1421s
[coop seed=3 f=0.10] r=1825 best=33350.9 t=1424s
[coop seed=3 f=0.30] r=1850 best=33350.9 t=1424s
[coop seed=2 f=0.30] r=1550 best=33350.9 t=1430s
[coop seed=0 f=0.65] r=1750 best=33350.9 t=1440s
[coop seed=3 f=0.65] r=1875 best=33350.9 t=1444s
[coop seed=2 f=0.20] r=1575 best=33350.9 t=1446s
[coop seed=3 f=0.20] r=1900 best=33350.9 t=1449s
[coop seed=1 f=0.15] r=1700 best=33350.9 t=1449s
[coop seed=2 f=0.65] r=1600 best=33350.9 t=1450s
[coop seed=1 f=0.45] r=1725 best=33350.9 t=1450s
[coop seed=0 f=0.15] r=1775 best=33350.9 t=1452s
[coop seed=0 f=0.65] r=1800 best=33350.9 t=1455s
[coop seed=3 f=0.65] r=1925 best=33350.9 t=1458s
[coop seed=1 f=0.65] r=1750 best=33350.9 t=1473s
[coop seed=2 f=0.65] r=1625 best=33350.9 t=1478s
[coop seed=0 f=0.65] r=1825 best=33350.9 t=1483s
[coop seed=3 f=0.65] r=1950 best=33350.9 t=1487s
[coop seed=1 f=0.65] r=1775 best=33350.9 t=1501s
[coop seed=2 f=0.65] r=1650 best=33350.9 t=1507s
[coop seed=0 f=0.65] r=1850 best=33350.9 t=1512s
[coop seed=3 f=0.65] r=1975 best=33350.9 t=1515s
[coop seed=1 f=0.65] r=1800 best=33350.9 t=1530s
[coop seed=2 f=0.65] r=1675 best=33350.9 t=1535s
[coop seed=0 f=0.65] r=1875 best=33350.9 t=1540s
[coop seed=3 f=0.65] r=2000 best=33350.9 t=1544s
[coop seed=1 f=0.65] r=1825 best=33350.9 t=1558s
[coop seed=2 f=0.65] r=1700 best=33350.9 t=1564s
[coop seed=0 f=0.65] r=1900 best=33350.9 t=1568s
[coop seed=3 f=0.65] r=2025 best=33350.9 t=1572s
[coop seed=1 f=0.65] r=1850 best=33350.9 t=1587s
[coop seed=2 f=0.65] r=1725 best=33350.9 t=1592s
[coop seed=0 f=0.65] r=1925 best=33350.9 t=1597s
[coop seed=3 f=0.65] r=2050 best=33350.9 t=1601s
[coop seed=1 f=0.65] r=1875 best=33350.9 t=1616s
[coop seed=2 f=0.65] r=1750 best=33350.9 t=1621s
[coop seed=0 f=0.65] r=1950 best=33350.9 t=1625s
[coop seed=3 f=0.65] r=2075 best=33350.9 t=1629s
[coop seed=1 f=0.65] r=1900 best=33350.9 t=1644s
[coop seed=2 f=0.65] r=1775 best=33350.9 t=1649s
[coop seed=0 f=0.65] r=1975 best=33350.9 t=1654s
[coop seed=3 f=0.65] r=2100 best=33350.9 t=1657s
[coop seed=1 f=0.65] r=1925 best=33350.9 t=1672s
[coop seed=2 f=0.65] r=1800 best=33350.9 t=1678s
[coop seed=0 f=0.65] r=2000 best=33350.9 t=1682s
[coop seed=3 f=0.65] r=2125 best=33350.9 t=1686s
[coop seed=0 f=0.20] r=2025 best=33351.0 t=1689s
[coop seed=1 f=0.20] r=1950 best=33351.0 t=1690s
[coop seed=0 f=0.10] r=2050 best=33351.7 t=1696s
[coop seed=1 f=0.65] r=1975 best=33351.0 t=1696s
[coop seed=0 f=0.30] r=2075 best=33351.7 t=1696s
[coop seed=2 f=0.20] r=1825 best=33351.7 t=1700s
[coop seed=1 f=0.30] r=2000 best=33351.7 t=1702s
[coop seed=3 f=0.15] r=2150 best=33351.7 t=1703s
[coop seed=0 f=0.10] r=2100 best=33351.8 t=1704s
