error    libmamba Could not set lock (Resource temporarily unavailable)
warning  libmamba Cannot lock '/home/julian/.cache/mamba/proc'
    Waiting for other mamba process to finish
[TDSA-D] seed 601 cities, makespan 2075.3d strands 34; iters=40000 T0=18.0
[TDSA-D] it8350: cur 2490 best_mk 1433.4d best_strands 21 T=3.5 acc=36 [25843s]
[TDSA-D] it8400: cur 2490 best_mk 1433.4d best_strands 21 T=3.5 acc=36 [25965s]
[TDSA-D] it8450: cur 2490 best_mk 1433.4d best_strands 21 T=3.4 acc=36 [26103s]
[TDSA-D] it8500: cur 2490 best_mk 1433.4d best_strands 21 T=3.4 acc=36 [26246s]
[TDSA-D] it8550: cur 2490 best_mk 1433.4d best_strands 21 T=3.4 acc=36 [26383s]
[TDSA-D] it8600: cur 2490 best_mk 1433.4d best_strands 21 T=3.3 acc=37 [26518s]
[TDSA-D] it8650: cur 2490 best_mk 1433.4d best_strands 21 T=3.3 acc=37 [26653s]
[TDSA-D] it8700: cur 2490 best_mk 1433.4d best_strands 21 T=3.3 acc=37 [26803s]
[TDSA-D] it8750: cur 2490 best_mk 1433.4d best_strands 21 T=3.2 acc=37 [26963s]
[TDSA-D] it8800: cur 2490 best_mk 1433.4d best_strands 21 T=3.2 acc=37 [27122s]
[TDSA-D] it8850: cur 2490 best_mk 1433.4d best_strands 21 T=3.2 acc=37 [27275s]
[TDSA-D] it8900: cur 2490 best_mk 1433.4d best_strands 21 T=3.1 acc=37 [27418s]
[TDSA-D] it8950: cur 2490 best_mk 1433.4d best_strands 21 T=3.1 acc=37 [27553s]
[TDSA-D] it9000: cur 2490 best_mk 1433.4d best_strands 21 T=3.1 acc=37 [27673s]
[TDSA-D] it9050: cur 2490 best_mk 1433.4d best_strands 21 T=3.0 acc=37 [27813s]
[TDSA-D] it9100: cur 2490 best_mk 1433.4d best_strands 21 T=3.0 acc=37 [27964s]
[TDSA-D] it9150: cur 2490 best_mk 1433.4d best_strands 21 T=3.0 acc=37 [28095s]
[TDSA-D] it9200: cur 2490 best_mk 1433.4d best_strands 21 T=3.0 acc=37 [28223s]
[TDSA-D] it9250: cur 2490 best_mk 1433.4d best_strands 21 T=2.9 acc=37 [28355s]
[TDSA-D] it9300: cur 2490 best_mk 1433.4d best_strands 21 T=2.9 acc=37 [28505s]
[TDSA-D] it9350: cur 2490 best_mk 1433.4d best_strands 21 T=2.9 acc=37 [28660s]
[TDSA-D] it9400: cur 2490 best_mk 1433.4d best_strands 21 T=2.8 acc=37 [28800s]
[TDSA-D] it9450: cur 2490 best_mk 1433.4d best_strands 21 T=2.8 acc=37 [28955s]
[TDSA-D] it9500: cur 2490 best_mk 1433.4d best_strands 21 T=2.8 acc=37 [29097s]
[TDSA-D] it9550: cur 2490 best_mk 1433.4d best_strands 21 T=2.8 acc=37 [29245s]
