[TDSA-C] seed 601 cities, makespan 2075.3d strands 34; iters=40000 T0=25.0
[TDSA-C] it10550: cur 2713 best_mk 1563.5d best_strands 23 T=3.1 acc=58 [27325s]
[TDSA-C] it10600: cur 2713 best_mk 1563.5d best_strands 23 T=3.1 acc=58 [27452s]
[TDSA-C] it10650: cur 2713 best_mk 1563.5d best_strands 23 T=3.1 acc=58 [27575s]
[TDSA-C] it10700: cur 2713 best_mk 1563.5d best_strands 23 T=3.0 acc=58 [27708s]
[TDSA-C] it10750: cur 2713 best_mk 1562.9d best_strands 23 T=3.0 acc=59 [27831s]
[TDSA-C] it10800: cur 2713 best_mk 1562.9d best_strands 23 T=3.0 acc=59 [27947s]
[TDSA-C] it10850: cur 2713 best_mk 1562.9d best_strands 23 T=3.0 acc=59 [28082s]
[TDSA-C] it10900: cur 2713 best_mk 1562.9d best_strands 23 T=2.9 acc=59 [28194s]
[TDSA-C] it10950: cur 2713 best_mk 1562.9d best_strands 23 T=2.9 acc=59 [28329s]
[TDSA-C] it11000: cur 2713 best_mk 1562.9d best_strands 23 T=2.9 acc=59 [28459s]
[TDSA-C] it11050: cur 2713 best_mk 1562.9d best_strands 23 T=2.8 acc=59 [28573s]
[TDSA-C] it11100: cur 2713 best_mk 1562.9d best_strands 23 T=2.8 acc=59 [28698s]
[TDSA-C] it11150: cur 2713 best_mk 1562.9d best_strands 23 T=2.8 acc=59 [28830s]
[TDSA-C] it11200: cur 2711 best_mk 1561.4d best_strands 23 T=2.8 acc=61 [28949s]
[TDSA-C] it11250: cur 2711 best_mk 1561.4d best_strands 23 T=2.7 acc=61 [29041s]
[TDSA-C] it11300: cur 2711 best_mk 1561.4d best_strands 23 T=2.7 acc=63 [29159s]
[TDSA-C] it11350: cur 2711 best_mk 1561.4d best_strands 23 T=2.7 acc=63 [29277s]
[TDSA-C] it11400: cur 2711 best_mk 1561.4d best_strands 23 T=2.7 acc=63 [29417s]
[TDSA-C] it11450: cur 2711 best_mk 1561.4d best_strands 23 T=2.6 acc=63 [29544s]
[TDSA-C] it11500: cur 2711 best_mk 1561.4d best_strands 23 T=2.6 acc=63 [29667s]
[TDSA-C] it11550: cur 2711 best_mk 1560.9d best_strands 23 T=2.6 acc=64 [29789s]
[TDSA-C] it11600: cur 2711 best_mk 1560.9d best_strands 23 T=2.6 acc=64 [29903s]
[TDSA-C] it11650: cur 2711 best_mk 1560.9d best_strands 23 T=2.5 acc=64 [30046s]
[TDSA-C] it11700: cur 2711 best_mk 1560.9d best_strands 23 T=2.5 acc=64 [30150s]
[TDSA-C] it11750: cur 2711 best_mk 1560.9d best_strands 23 T=2.5 acc=64 [30290s]
[TDSA-C] it11800: cur 2711 best_mk 1560.9d best_strands 23 T=2.5 acc=64 [30409s]
[TDSA-C] it11850: cur 2711 best_mk 1560.9d best_strands 23 T=2.4 acc=64 [30544s]
[TDSA-C] it11900: cur 2711 best_mk 1560.9d best_strands 23 T=2.4 acc=64 [30659s]
[TDSA-C] it11950: cur 2711 best_mk 1560.9d best_strands 23 T=2.4 acc=64 [30794s]
[TDSA-C] it12000: cur 2711 best_mk 1560.9d best_strands 23 T=2.4 acc=64 [30894s]
[TDSA-C] it12050: cur 2711 best_mk 1560.9d best_strands 23 T=2.3 acc=64 [31014s]
[TDSA-C] it12100: cur 2711 best_mk 1560.9d best_strands 23 T=2.3 acc=65 [31119s]
[TDSA-C] it12150: cur 2711 best_mk 1560.9d best_strands 23 T=2.3 acc=65 [31253s]
[TDSA-C] it12200: cur 2711 best_mk 1560.9d best_strands 23 T=2.3 acc=65 [31371s]
[TDSA-C] it12250: cur 2711 best_mk 1560.9d best_strands 23 T=2.3 acc=65 [31503s]
[TDSA-C] it12300: cur 2711 best_mk 1560.9d best_strands 23 T=2.2 acc=65 [31632s]
[TDSA-C] it12350: cur 2711 best_mk 1560.9d best_strands 23 T=2.2 acc=65 [31771s]
[TDSA-C] it12400: cur 2711 best_mk 1560.9d best_strands 23 T=2.2 acc=65 [31881s]
[TDSA-C] it12450: cur 2711 best_mk 1560.9d best_strands 23 T=2.2 acc=65 [32001s]
[TDSA-C] it12500: cur 2711 best_mk 1560.9d best_strands 23 T=2.2 acc=65 [32162s]
[TDSA-C] it12550: cur 2711 best_mk 1560.9d best_strands 23 T=2.1 acc=65 [32277s]
[TDSA-C] it12600: cur 2711 best_mk 1560.9d best_strands 23 T=2.1 acc=65 [32405s]
[TDSA-C] it12650: cur 2711 best_mk 1560.9d best_strands 23 T=2.1 acc=65 [32532s]
[TDSA-C] it12700: cur 2711 best_mk 1560.9d best_strands 23 T=2.1 acc=65 [32649s]
[TDSA-C] it12750: cur 2711 best_mk 1560.9d best_strands 23 T=2.1 acc=65 [32747s]
[TDSA-C] it12800: cur 2711 best_mk 1560.9d best_strands 23 T=2.0 acc=65 [32850s]
[TDSA-C] it12850: cur 2711 best_mk 1560.9d best_strands 23 T=2.0 acc=65 [32968s]
[TDSA-C] it12900: cur 2711 best_mk 1560.9d best_strands 23 T=2.0 acc=65 [33092s]
[TDSA-C] it12950: cur 2711 best_mk 1560.9d best_strands 23 T=2.0 acc=65 [33226s]
[TDSA-C] it13000: cur 2711 best_mk 1560.9d best_strands 23 T=2.0 acc=65 [33330s]
[TDSA-C] it13050: cur 2711 best_mk 1560.9d best_strands 23 T=1.9 acc=65 [33431s]
[TDSA-C] it13100: cur 2711 best_mk 1560.9d best_strands 23 T=1.9 acc=65 [33552s]
[TDSA-C] it13150: cur 2711 best_mk 1560.9d best_strands 23 T=1.9 acc=65 [33694s]
[TDSA-C] it13200: cur 2711 best_mk 1560.9d best_strands 23 T=1.9 acc=65 [33817s]
[TDSA-C] it13250: cur 2711 best_mk 1560.9d best_strands 23 T=1.9 acc=65 [33943s]
