E-617 cheapest-insertion DP-ALNS. n_chains=4 wall_h=48.0
[c0] loading ultrafine table...
[c1] loading ultrafine table...
[c2] loading ultrafine table...
[c3] loading ultrafine table...
[c3] table+rank ready in 0.2s q=0.05d T=4000
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:85: RuntimeWarning: invalid value encountered in cast
  c_arr_full = np.arange(T) + np.ceil(c_row / q).astype(np.int32)
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:86: RuntimeWarning: invalid value encountered in cast
  e_arr_full = np.arange(T) + np.ceil(e_row / q).astype(np.int32)
[c0] table+rank ready in 0.2s q=0.05d T=4000
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:85: RuntimeWarning: invalid value encountered in cast
  c_arr_full = np.arange(T) + np.ceil(c_row / q).astype(np.int32)
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:86: RuntimeWarning: invalid value encountered in cast
  e_arr_full = np.arange(T) + np.ceil(e_row / q).astype(np.int32)
[c1] table+rank ready in 0.2s q=0.05d T=4000
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:85: RuntimeWarning: invalid value encountered in cast
  c_arr_full = np.arange(T) + np.ceil(c_row / q).astype(np.int32)
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:86: RuntimeWarning: invalid value encountered in cast
  e_arr_full = np.arange(T) + np.ceil(e_row / q).astype(np.int32)
[c2] table+rank ready in 0.3s q=0.05d T=4000
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:85: RuntimeWarning: invalid value encountered in cast
  c_arr_full = np.arange(T) + np.ceil(c_row / q).astype(np.int32)
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:86: RuntimeWarning: invalid value encountered in cast
  e_arr_full = np.arange(T) + np.ceil(e_row / q).astype(np.int32)
[c3] init DP-space baseline mk=118.5255d (official bank=112.996; offset for refine)
[c2] init DP-space baseline mk=118.5255d (official bank=112.996; offset for refine)
[c0] init DP-space baseline mk=118.5255d (official bank=112.996; offset for refine)
[c1] init DP-space baseline mk=118.5255d (official bank=112.996; offset for refine)
[c0] iter=135 elapsed=2.5min DP_ok=77 DP_fail=58 accepted=76 rate=54.9/min state=119.4255 best=116.3755 kick=3 stale=75
[c0] iter=140 elapsed=2.6min DP_ok=81 DP_fail=59 accepted=80 rate=54.5/min state=119.4255 best=116.3755 kick=3 stale=79
[c1] iter=125 elapsed=2.6min DP_ok=80 DP_fail=45 accepted=80 rate=47.8/min state=119.3274 best=118.5255 kick=3 stale=80
[c2] iter=125 elapsed=2.6min DP_ok=81 DP_fail=44 accepted=81 rate=47.6/min state=119.4255 best=116.3755 kick=3 stale=80
[c3] iter=135 elapsed=2.6min DP_ok=86 DP_fail=49 accepted=84 rate=51.0/min state=125.0752 best=118.5255 kick=3 stale=86
[c3] iter=140 elapsed=2.7min DP_ok=88 DP_fail=52 accepted=86 rate=51.3/min state=123.1752 best=118.5255 kick=3 stale=88
[c1] iter=130 elapsed=2.7min DP_ok=84 DP_fail=46 accepted=84 rate=47.6/min state=119.3274 best=118.5255 kick=3 stale=84
[c2] iter=130 elapsed=2.7min DP_ok=85 DP_fail=45 accepted=85 rate=47.5/min state=119.4255 best=116.3755 kick=3 stale=84
[c0] iter=150 elapsed=2.8min DP_ok=88 DP_fail=62 accepted=87 rate=53.7/min state=119.4255 best=116.3755 kick=3 stale=86
[c1] iter=135 elapsed=2.8min DP_ok=87 DP_fail=48 accepted=87 rate=47.5/min state=119.3274 best=118.5255 kick=3 stale=87
[c2] iter=135 elapsed=2.9min DP_ok=89 DP_fail=46 accepted=89 rate=47.2/min state=119.4255 best=116.3755 kick=3 stale=88
[c3] iter=145 elapsed=2.9min DP_ok=92 DP_fail=53 accepted=90 rate=50.5/min state=123.1752 best=118.5255 kick=3 stale=92
[c0] iter=155 elapsed=2.9min DP_ok=90 DP_fail=65 accepted=88 rate=54.0/min state=119.4255 best=116.3755 kick=3 stale=88
[c2] iter=140 elapsed=2.9min DP_ok=91 DP_fail=49 accepted=91 rate=48.0/min state=119.4255 best=116.3755 kick=3 stale=90
[c1] iter=140 elapsed=2.9min DP_ok=90 DP_fail=50 accepted=90 rate=47.9/min state=119.3274 best=118.5255 kick=3 stale=90
[c0] iter=165 elapsed=3.0min DP_ok=94 DP_fail=71 accepted=92 rate=54.8/min state=119.4255 best=116.3755 kick=3 stale=92
[c1] iter=145 elapsed=3.0min DP_ok=93 DP_fail=52 accepted=93 rate=48.2/min state=119.3274 best=118.5255 kick=3 stale=93
[c2] iter=145 elapsed=3.0min DP_ok=94 DP_fail=51 accepted=94 rate=47.9/min state=119.4255 best=116.3755 kick=3 stale=93
[c1] iter=150 elapsed=3.1min DP_ok=97 DP_fail=53 accepted=97 rate=48.1/min state=119.3274 best=118.5255 kick=3 stale=97
[c2] iter=150 elapsed=3.2min DP_ok=99 DP_fail=51 accepted=99 rate=47.4/min state=119.4255 best=116.3755 kick=3 stale=98
[c3] iter=160 elapsed=3.2min DP_ok=100 DP_fail=60 accepted=98 rate=50.3/min state=123.1752 best=118.5255 kick=4 stale=100
[c0] iter=175 elapsed=3.2min DP_ok=100 DP_fail=75 accepted=98 rate=54.6/min state=119.4255 best=116.3755 kick=3 stale=98
[c1] iter=160 elapsed=3.3min DP_ok=101 DP_fail=59 accepted=101 rate=49.1/min state=119.3274 best=118.5255 kick=4 stale=101
[c0] iter=180 elapsed=3.3min DP_ok=104 DP_fail=76 accepted=102 rate=54.3/min state=119.4255 best=116.3755 kick=4 stale=102
[c2] iter=160 elapsed=3.4min DP_ok=106 DP_fail=54 accepted=106 rate=47.6/min state=123.1752 best=116.3755 kick=4 stale=105
[c1] iter=165 elapsed=3.4min DP_ok=106 DP_fail=59 accepted=106 rate=48.6/min state=119.3274 best=118.5255 kick=4 stale=106
[c2] iter=165 elapsed=3.4min DP_ok=108 DP_fail=57 accepted=108 rate=48.3/min state=123.1752 best=116.3755 kick=4 stale=107
[c3] iter=175 elapsed=3.4min DP_ok=109 DP_fail=66 accepted=107 rate=51.0/min state=123.1752 best=118.5255 kick=4 stale=109
[c0] iter=185 elapsed=3.4min DP_ok=107 DP_fail=78 accepted=105 rate=53.6/min state=119.4255 best=116.3755 kick=4 stale=105
[c1] iter=170 elapsed=3.5min DP_ok=109 DP_fail=61 accepted=109 rate=48.8/min state=119.3274 best=118.5255 kick=4 stale=109
[c1] iter=175 elapsed=3.5min DP_ok=110 DP_fail=65 accepted=110 rate=49.5/min state=119.3274 best=118.5255 kick=4 stale=110
[c0] iter=190 elapsed=3.6min DP_ok=111 DP_fail=79 accepted=109 rate=53.4/min state=119.4255 best=116.3755 kick=4 stale=109
[c3] iter=180 elapsed=3.6min DP_ok=114 DP_fail=66 accepted=112 rate=50.5/min state=123.1752 best=118.5255 kick=4 stale=114
[c2] iter=175 elapsed=3.6min DP_ok=115 DP_fail=60 accepted=115 rate=48.5/min state=119.4255 best=116.3755 kick=4 stale=114
[c1] iter=180 elapsed=3.6min DP_ok=113 DP_fail=67 accepted=113 rate=49.7/min state=119.3274 best=118.5255 kick=4 stale=113
[c2] iter=180 elapsed=3.7min DP_ok=119 DP_fail=61 accepted=119 rate=48.3/min state=119.4255 best=116.3755 kick=4 stale=118
[c0] iter=200 elapsed=3.8min DP_ok=116 DP_fail=84 accepted=114 rate=53.1/min state=119.4255 best=116.3755 kick=4 stale=114
[c0] iter=205 elapsed=3.8min DP_ok=118 DP_fail=87 accepted=116 rate=53.7/min state=119.4255 best=116.3755 kick=4 stale=116
[c2] iter=185 elapsed=3.8min DP_ok=123 DP_fail=62 accepted=122 rate=48.2/min state=119.4255 best=116.3755 kick=4 stale=122
[c3] iter=200 elapsed=3.9min DP_ok=123 DP_fail=77 accepted=121 rate=50.8/min state=123.1752 best=118.5255 kick=4 stale=123
[c2] iter=190 elapsed=3.9min DP_ok=127 DP_fail=63 accepted=126 rate=48.1/min state=120.2755 best=116.3755 kick=4 stale=126
[c1] iter=200 elapsed=3.9min DP_ok=123 DP_fail=77 accepted=123 rate=50.6/min state=119.3274 best=118.5255 kick=4 stale=123
[c0] iter=210 elapsed=4.0min DP_ok=123 DP_fail=87 accepted=121 rate=53.1/min state=119.4255 best=116.3755 kick=4 stale=121
[c3] iter=205 elapsed=4.0min DP_ok=125 DP_fail=80 accepted=123 rate=51.0/min state=123.1752 best=118.5255 kick=4 stale=125
[c1] iter=215 elapsed=4.1min DP_ok=129 DP_fail=86 accepted=129 rate=51.9/min state=119.3274 best=118.5255 kick=4 stale=129
[c3] iter=215 elapsed=4.2min DP_ok=132 DP_fail=83 accepted=130 rate=50.8/min state=123.1752 best=118.5255 kick=4 stale=132
[c2] iter=210 elapsed=4.3min DP_ok=137 DP_fail=73 accepted=136 rate=49.1/min state=120.2755 best=116.3755 kick=4 stale=136
[c0] iter=230 elapsed=4.3min DP_ok=135 DP_fail=95 accepted=133 rate=53.3/min state=119.4255 best=116.3755 kick=4 stale=133
[c1] iter=225 elapsed=4.4min DP_ok=136 DP_fail=89 accepted=136 rate=51.7/min state=123.2781 best=118.5255 kick=4 stale=136
[c3] iter=225 elapsed=4.4min DP_ok=136 DP_fail=89 accepted=134 rate=51.5/min state=123.1752 best=118.5255 kick=4 stale=136
[c2] iter=215 elapsed=4.4min DP_ok=141 DP_fail=74 accepted=139 rate=49.0/min state=120.2755 best=116.3755 kick=4 stale=140
