[TDSA-E] seed 601 cities, makespan 11686.8d strands 217; iters=40000 T0=40.0
[TDSA-E] it8400: cur 5635 best_mk 3385.1d best_strands 45 T=7.6 acc=731 [17598s]
[TDSA-E] it8450: cur 5630 best_mk 3380.2d best_strands 45 T=7.5 acc=733 [17698s]
[TDSA-E] it8500: cur 5630 best_mk 3380.2d best_strands 45 T=7.4 acc=734 [17788s]
[TDSA-E] it8550: cur 5627 best_mk 3377.5d best_strands 45 T=7.3 acc=737 [17887s]
[TDSA-E] it8600: cur 5619 best_mk 3369.0d best_strands 45 T=7.3 acc=739 [17988s]
[TDSA-E] it8650: cur 5619 best_mk 3369.0d best_strands 45 T=7.2 acc=740 [18093s]
[TDSA-E] it8700: cur 5617 best_mk 3363.9d best_strands 45 T=7.1 acc=745 [18190s]
[TDSA-E] it8750: cur 5617 best_mk 3363.9d best_strands 45 T=7.0 acc=747 [18286s]
[TDSA-E] it8800: cur 5613 best_mk 3362.8d best_strands 45 T=7.0 acc=752 [18382s]
[TDSA-E] it8850: cur 5613 best_mk 3362.8d best_strands 45 T=6.9 acc=754 [18471s]
[TDSA-E] it8900: cur 5613 best_mk 3362.8d best_strands 45 T=6.8 acc=757 [18570s]
[TDSA-E] it8950: cur 5613 best_mk 3362.8d best_strands 45 T=6.8 acc=760 [18664s]
[TDSA-E] it9000: cur 5613 best_mk 3362.8d best_strands 45 T=6.7 acc=763 [18750s]
[TDSA-E] it9050: cur 5613 best_mk 3362.8d best_strands 45 T=6.6 acc=765 [18843s]
[TDSA-E] it9100: cur 5613 best_mk 3362.8d best_strands 45 T=6.6 acc=767 [18940s]
[TDSA-E] it9150: cur 5613 best_mk 3362.8d best_strands 45 T=6.5 acc=768 [19033s]
[TDSA-E] it9200: cur 5613 best_mk 3362.8d best_strands 45 T=6.5 acc=768 [19135s]
